,event_id,v1_ssvid,v1_name,v1_type,v1_flag,v2_ssvid,v2_name,v2_type,v2_flag,event_start,event_end,lat_mean,lon_mean,median_distance_km,median_speed_knots,event,event_date,year,Is TS,Comment
11,01d24b4259a55099dfc4d71fe21e93ab.2,412420003,TIAN SHUN,other_non_fishing,CHN,412421137,MINGXIANG877,fishing,CHN,13/01/2021 01:40,13/01/2021 23:50,-52.24778064,-69.23473977,0.382,0.027,01d24b4259a55099dfc4d71fe21e93ab,13/01/2021,2021,No,
10,926c866566eb9fd3474e030ba7dcb1d5.2,412549098,MING XIANG 858,fishing,CHN,949403626,NA,other_non_fishing,NA,13/01/2021 02:30,13/01/2021 08:00,-52.24407664,-69.20882933,0.009,0,926c866566eb9fd3474e030ba7dcb1d5,13/01/2021,2021,Yes,Potentially 949403626 is gear
22,7046e11dfb361981ac3d63f01668b6b7.2,412331175,LU RONG YUAN YU 881,other_non_fishing,CHN,499999999,LURONGYUANYU881,other_non_fishing,NA,19/04/2021 21:20,19/04/2021 23:50,-52.25525322,-69.15886287,0.007,0.008,7046e11dfb361981ac3d63f01668b6b7,19/04/2021,2021,Yes,Potentially 499999999 is a gear - looks like on board
36,a3c4024cc45ae191ab7da91e498ccc48.2,412440659,FU YUAN YU 7870,fishing,CHN,412440661,FU YUAN YU 7871,other_non_fishing,CHN,12/05/2021 12:30,12/05/2021 16:10,-52.26134237,-69.20144743,0.011,0.019,a3c4024cc45ae191ab7da91e498ccc48,12/05/2021,2021,Yes,
37,c8eea3d5a99b57bfd7a1cca9536caab5.2,412440657,FU YUAN YU 7868,fishing,CHN,412440663,FU YUAN YU 7873,fishing,CHN,12/05/2021 17:00,12/05/2021 22:40,-52.29949756,-69.27745819,0.011,0.021,c8eea3d5a99b57bfd7a1cca9536caab5,12/05/2021,2021,Yes,
25,d40416574be1e9b86d4c6671c3e064b1.2,412440659,FU YUAN YU 7870,fishing,CHN,412440657,FU YUAN YU 7868,fishing,CHN,13/05/2021 12:20,13/05/2021 18:50,-52.27010823,-69.3237077,0.009,0.02,d40416574be1e9b86d4c6671c3e064b1,13/05/2021,2021,No,
24,1d11e5660d09f6c405c41f8906083a25.2,412329642,LU WEI YUAN YU 858,fishing,CHN,412549192,JIA DE 56,fishing,CHN,13/05/2021 14:10,17/05/2021 20:10,-52.2492243,-69.28334889,0.339,0.023,1d11e5660d09f6c405c41f8906083a25,13/05/2021,2021,No,
23,ec34fedc07890c6e93b9acf8580c96b3.1,412440604,7884,fishing,CHN,412550615,FUYUANYU7885,fishing,CHN,13/05/2021 14:20,13/05/2021 19:00,-52.28706371,-69.31103576,0.022,0.043,ec34fedc07890c6e93b9acf8580c96b3,13/05/2021,2021,Yes,
31,bdd1c9e61b76c877c147d39055a030ec.1,412440661,FU YUAN YU 7871,other_non_fishing,CHN,412440658,FU YUAN YU7869,fishing,CHN,14/05/2021 13:10,14/05/2021 16:00,-52.26098751,-69.20333787,0.013,0.019,bdd1c9e61b76c877c147d39055a030ec,14/05/2021,2021,Yes,
19,e29a00b7d5447de926f78cac2abea9d1.2,412440779,FU YUAN YU 7630,other_non_fishing,CHN,412440778,FU YUAN YU 7629,fishing,CHN,15/05/2021 00:30,16/05/2021 13:50,-52.25305203,-69.24928848,0.49,0.01,e29a00b7d5447de926f78cac2abea9d1,15/05/2021,2021,No,
38,4fe3047e85cfb79bb55c7aa7f55ff71e.1,412420418,ZHOUHONGYUAN2,fishing,CHN,412420624,NING TAI 57,fishing,CHN,16/05/2021 13:00,16/05/2021 18:30,-52.25364214,-69.29513582,0.471,0.026,4fe3047e85cfb79bb55c7aa7f55ff71e,16/05/2021,2021,No,
39,daf60ea219818817e97babbb7b4e3a18.2,412440657,FU YUAN YU 7868,fishing,CHN,412440663,FU YUAN YU 7873,fishing,CHN,16/05/2021 17:00,16/05/2021 21:00,-52.27093276,-69.32498959,0.095,0.024,daf60ea219818817e97babbb7b4e3a18,16/05/2021,2021,No,
14,685e2d8d6eaa80dd7c86239cf296adef.1,412420418,ZHOUHONGYUAN2,fishing,CHN,412420624,NING TAI 57,fishing,CHN,17/05/2021 01:40,17/05/2021 06:00,-52.25418035,-69.29528854,0.483,0.024,685e2d8d6eaa80dd7c86239cf296adef,17/05/2021,2021,No,
15,81113ec88deb543edbbd2a2582a96213.1,412421192,ZHONGJU1,fishing,CHN,412420624,NING TAI 57,fishing,CHN,17/05/2021 13:30,17/05/2021 23:50,-52.25014873,-69.29244826,0.459,0.027,81113ec88deb543edbbd2a2582a96213,17/05/2021,2021,No,
16,5dbbcaa841a2dea744451530d06486ae.2,412420687,HUA LI 18,fishing,CHN,412421182,TAO YUAN 608,other_non_fishing,CHN,17/05/2021 18:30,19/05/2021 16:00,-52.25043324,-69.26360341,0.472,0.013,5dbbcaa841a2dea744451530d06486ae,17/05/2021,2021,No,
5,62e3de46a29edbefa5c069ce8f4c9a71.2,412221070,LURONGYUANYU195,fishing,CHN,412421192,ZHONGJU1,fishing,CHN,18/05/2021 00:50,19/05/2021 16:40,-52.2493424,-69.29228452,0.375,0.019,62e3de46a29edbefa5c069ce8f4c9a71,18/05/2021,2021,No,
3,9b789a0e46de15672ca07e7f70f40faa.2,412549278,LU RONG YUAN YU 835,fishing,CHN,412421182,TAO YUAN 608,other_non_fishing,CHN,19/05/2021 06:10,19/05/2021 16:00,-52.24697681,-69.26031342,0.417,0.011,9b789a0e46de15672ca07e7f70f40faa,19/05/2021,2021,No,
2,95751a106c28a6c024e0bbbaa03d9194.1,412420822,HUALI17,fishing,CHN,412421192,ZHONGJU1,fishing,CHN,19/05/2021 17:30,19/05/2021 23:50,-52.286676,-69.30825626,0.454,0.026,95751a106c28a6c024e0bbbaa03d9194,19/05/2021,2021,Yes,
17,29614cff7fde8f7d833ae38a31d6db31.2,412440779,FU YUAN YU 7630,other_non_fishing,CHN,412440778,FU YUAN YU 7629,fishing,CHN,22/05/2021 00:00,22/05/2021 02:40,-52.2518904,-69.24738231,0.433,0.132,29614cff7fde8f7d833ae38a31d6db31,22/05/2021,2021,No,
4,2f4cc17237e503b0e80461effaae3edd.2,412420456,HONG DA 1,fishing,CHN,412420574,JLA DE 12,other_non_fishing,CHN,23/05/2021 13:00,23/05/2021 20:10,-52.27648488,-69.32836394,0.397,0.042,2f4cc17237e503b0e80461effaae3edd,23/05/2021,2021,No,
30,a8a9a19326778aa5ebf278466156092a.2,412336962,LURONGYUANYU581,fishing,CHN,412320029,JING YUAN 608,other_non_fishing,CHN,24/05/2021 16:00,24/05/2021 23:40,-52.26769653,-69.29218083,0.423,0.027,a8a9a19326778aa5ebf278466156092a,24/05/2021,2021,No,
29,80a5760f61c15a74071900ed0f2ead83.1,412336962,LURONGYUANYU581,fishing,CHN,412330029,JING YUAN 608,other_non_fishing,CHN,24/05/2021 16:10,24/05/2021 23:40,-52.26769171,-69.29207655,0.423,0.04,80a5760f61c15a74071900ed0f2ead83,24/05/2021,2021,No,
28,a0fba45e8de9ada17633ca3047cb7858.2,412320029,JING YUAN 608,other_non_fishing,CHN,412331074,LU RONG YUAN YU 179,fishing,CHN,24/05/2021 18:30,24/05/2021 22:00,-52.26958113,-69.28640905,0.451,0.031,a0fba45e8de9ada17633ca3047cb7858,24/05/2021,2021,No,
27,64cc8daee6f1ba55bf176f7c04a81c3d.1,412331074,LU RONG YUAN YU 179,fishing,CHN,412330029,JING YUAN 608,other_non_fishing,CHN,24/05/2021 19:40,24/05/2021 22:00,-52.26955494,-69.28636207,0.46,0.052,64cc8daee6f1ba55bf176f7c04a81c3d,24/05/2021,2021,No,
13,9f7c296cc4da5591fe4a5bb7f84eddcb.2,412336962,LURONGYUANYU581,fishing,CHN,412320029,JING YUAN 608,other_non_fishing,CHN,25/05/2021 16:20,25/05/2021 22:10,-52.2673608,-69.28845678,0.485,0.012,9f7c296cc4da5591fe4a5bb7f84eddcb,25/05/2021,2021,No,
12,8d05e5a4cf2225759d69125512f1ef19.1,412336962,LURONGYUANYU581,fishing,CHN,412330029,JING YUAN 608,other_non_fishing,CHN,25/05/2021 16:40,26/05/2021 19:40,-52.26739614,-69.2903784,0.487,0.017,8d05e5a4cf2225759d69125512f1ef19,25/05/2021,2021,No,
1,1129ea0fb05bb91c375d8a38125c8da7.2,412336962,LURONGYUANYU581,fishing,CHN,412320029,JING YUAN 608,other_non_fishing,CHN,26/05/2021 05:40,26/05/2021 19:30,-52.26746564,-69.29051658,0.487,0.009,1129ea0fb05bb91c375d8a38125c8da7,26/05/2021,2021,No,
7,3641abcfbaaec0daf52d57a75a7b98df.1,412336962,LURONGYUANYU581,fishing,CHN,412330029,JING YUAN 608,other_non_fishing,CHN,27/05/2021 01:10,27/05/2021 04:30,-52.26853946,-69.29254924,0.479,0.021,3641abcfbaaec0daf52d57a75a7b98df,27/05/2021,2021,No,
8,5602e9423f2a3b79eb4b8ccfe4ed647e.2,412336962,LURONGYUANYU581,fishing,CHN,412320029,JING YUAN 608,other_non_fishing,CHN,27/05/2021 10:10,28/05/2021 03:30,-52.26791925,-69.29101816,0.481,0.029,5602e9423f2a3b79eb4b8ccfe4ed647e,27/05/2021,2021,No,
6,5307a84cbf2b48a1afb888f87548b473.2,412330029,JING YUAN 608,other_non_fishing,CHN,412336962,LURONGYUANYU581,fishing,CHN,27/05/2021 21:10,28/05/2021 03:30,-52.26758053,-69.290793,0.472,0.03,5307a84cbf2b48a1afb888f87548b473,27/05/2021,2021,No,
18,70feb61ed01f511e44abc4a0d45745ee.1,412421178,SHUNZE75,fishing,CHN,412421144,SHUN ZE 83,fishing,CHN,05/06/2022 21:30,06/06/2022 07:20,-52.24842695,-69.29178211,0.016,0.023,70feb61ed01f511e44abc4a0d45745ee,05/06/2022,2022,Yes,
35,3e51eb84b5589d61355aef8bda60d08f.2,412440375,FU   YUAN  YU  7612,other_non_fishing,CHN,412440737,FU YUAN YU 7614,fishing,CHN,06/06/2022 08:20,06/06/2022 12:20,-52.26010233,-69.23180111,0.487,0.017,3e51eb84b5589d61355aef8bda60d08f,06/06/2022,2022,No,
21,772a18bfa91a58434f7f69b955febc8d.1,412421178,SHUNZE75,fishing,CHN,412421059,NING TAI 76,fishing,CHN,07/06/2022 01:00,07/06/2022 11:40,-52.27832913,-69.36432853,0.16,0.032,772a18bfa91a58434f7f69b955febc8d,07/06/2022,2022,No,
20,2d6c7cf37be3306ac7df3e3a4021f1cc.2,412421178,SHUNZE75,fishing,CHN,412420312,JIADE1,fishing,CHN,07/06/2022 21:00,07/06/2022 23:50,-52.28435757,-69.23006826,0.159,0.008,2d6c7cf37be3306ac7df3e3a4021f1cc,07/06/2022,2022,No,
40,44d176b17e6e862b7489e41a9b007f56.2,412420805,PUYUAN777,fishing,CHN,NA,NA,NA,NA,09/06/2022 00:10,09/06/2022 02:50,-52.24299692,-69.2714779,0.43,0.046,44d176b17e6e862b7489e41a9b007f56,09/06/2022,2022,No,
26,a4d3b71c6e4074867a3948921a8e9a8b.1,412421108,RUNDA603,fishing,CHN,412420581,RUNDA618,fishing,CHN,26/06/2022 18:30,27/06/2022 08:10,-52.26862748,-69.37828158,0.425,0.025,a4d3b71c6e4074867a3948921a8e9a8b,26/06/2022,2022,No,
9,df62124adfb6d0cd93d0fa03480d805c.1,412328764,HAIYANG 6,fishing,CHN,412549097,HONG_PU_17,fishing,CHN,27/06/2022 20:20,28/06/2022 08:40,-52.27647827,-69.37888549,0.483,0.02,df62124adfb6d0cd93d0fa03480d805c,27/06/2022,2022,No,
33,ed304524a72167e1e79e12154b069bdb.2,412331286,LURONGYUANYU885,fishing,CHN,412331284,LURONGYUANYU715,fishing,CHN,01/08/2022 12:10,01/08/2022 22:10,-52.25875855,-69.31017402,0.017,0.033,ed304524a72167e1e79e12154b069bdb,01/08/2022,2022,Yes,
34,13017a935bb2491613df89ba59627e98.2,150402944,LURONGYUANYU277,fishing,NA,412331284,LURONGYUANYU715,fishing,CHN,01/08/2022 12:50,01/08/2022 22:10,-52.25875251,-69.31032761,0.006,0.029,13017a935bb2491613df89ba59627e98,01/08/2022,2022,Yes,
