"source","type","ssvid","timestamp","lon","lat","speed","course","heading","shipname","callsign","destination","imo","shiptype","receiver_type","receiver","length","width","status"
"spire","AIS.18","150400453",2022-11-11 15:26:57,-81.1389766666667,-18.0064416666667,0.5,343.1,343,NA,NA,NA,NA,NA,"satellite","FM127",NA,NA,0
"orbcomm","AIS.18","150400453",2022-11-11 08:59:42,-81.130295,-18.05926,0.5,353.700012207031,353,NA,NA,NA,NA,NA,"satellite","rORBCOMM999",NA,NA,NA
"spire","AIS.18","150400453",2022-11-11 12:53:54,-81.13661,-18.026295,0.5,348.5,348,NA,NA,NA,NA,NA,"satellite","FM46",NA,NA,0
"spire","AIS.18","150400453",2022-11-11 20:48:02,-81.1511466666667,-17.9688833333333,0.4,0.5,0,NA,NA,NA,NA,NA,"satellite","FM119",NA,NA,0
"spire","AIS.18","150400453",2022-11-11 15:41:59,-81.1394766666667,-18.0048966666667,0.4,355.3,355,NA,NA,NA,NA,NA,"satellite","FM122",NA,NA,0
"spire","AIS.18","150400453",2022-11-11 21:03:04,-81.15151,-17.96754,0.7,4,10,NA,NA,NA,NA,NA,"satellite","FM67",NA,NA,0
"spire","AIS.18","150400453",2022-11-11 15:29:57,-81.1391083333333,-18.0061866666667,0.3,352.7,352,NA,NA,NA,NA,NA,"satellite","FM127",NA,NA,0
"spire","AIS.18","150400453",2022-11-11 14:32:54,-81.1383383333333,-18.013045,0.5,10.6,10,NA,NA,NA,NA,NA,"satellite","FM102",NA,NA,0
"spire","AIS.18","150400453",2022-11-11 07:29:41,-81.127875,-18.0733816666667,0.6,348.9,348,NA,NA,NA,NA,NA,"satellite","FM144",NA,NA,0
"spire","AIS.18","150400453",2022-11-11 05:23:35,-81.1243883333333,-18.09088,0.6,340.1,340,NA,NA,NA,NA,NA,"satellite","FM119",NA,NA,0
"spire","AIS.18","150400453",2022-11-11 02:35:35,-81.1223883333333,-18.1124266666667,0.6,12.5,12,NA,NA,NA,NA,NA,"satellite","FM46",NA,NA,0
"spire","AIS.19","150400453",2022-11-11 21:47:33,-81.1520816666667,-17.9635816666667,0.3,11.5,11,"LURONGYUANYU 715",NA,NA,NA,"Fishing","satellite","FM106",70,12,NA
"spire","AIS.18","150400453",2022-11-11 02:41:32,-81.1223833333333,-18.111645,0.4,14.2,14,NA,NA,NA,NA,NA,"satellite","FM120",NA,NA,0
"spire","AIS.18","150400453",2022-11-11 15:32:57,-81.139225,-18.0059,0.5,332.9,332,NA,NA,NA,NA,NA,"satellite","FM127",NA,NA,0
"spire","AIS.18","150400453",2022-11-11 04:17:34,-81.1228866666667,-18.0984966666667,0.5,353.9,353,NA,NA,NA,NA,NA,"satellite","FM120",NA,NA,0
"spire","AIS.18","150400453",2022-11-11 08:23:43,-81.1291383333333,-18.0645966666667,0.8,354.2,354,NA,NA,NA,NA,NA,"satellite","FM143",NA,NA,0
"spire","AIS.18","150400453",2022-11-11 02:38:36,-81.1223666666667,-18.1120116666667,0.4,6.6,6,NA,NA,NA,NA,NA,"satellite","FM46",NA,NA,0
"spire","AIS.18","150400453",2022-11-11 09:41:48,-81.1311283333333,-18.0531333333333,0.4,333,333,NA,NA,NA,NA,NA,"satellite","FM112",NA,NA,0
"spire","AIS.18","150400453",2022-11-11 14:59:54,-81.1386716666667,-18.0099816666667,0.7,352.7,352,NA,NA,NA,NA,NA,"satellite","FM133",NA,NA,0
"spire","AIS.18","150400453",2022-11-11 19:09:02,-81.1473616666667,-17.9801166666667,0.6,342.3,342,NA,NA,NA,NA,NA,"satellite","FM144",NA,NA,0
"spire","AIS.18","150400453",2022-11-11 04:29:35,-81.1230216666667,-18.0969716666667,0.3,0,0,NA,NA,NA,NA,NA,"satellite","FM128",NA,NA,0
"spire","AIS.18","150400453",2022-11-11 03:53:34,-81.1220216666667,-18.101255,0.6,3.2,3,NA,NA,NA,NA,NA,"satellite","FM136",NA,NA,0
"spire","AIS.18","150400453",2022-11-11 08:20:43,-81.1290366666667,-18.0650033333333,0.5,355.5,355,NA,NA,NA,NA,NA,"satellite","FM143",NA,NA,0
"spire","AIS.18","150400453",2022-11-11 03:44:34,-81.1220833333333,-18.1027633333333,0.5,358,358,NA,NA,NA,NA,NA,"satellite","FM149",NA,NA,0
"spire","AIS.19","150400453",2022-11-11 03:28:48,-81.1217083333333,-18.1046383333333,0.7,10.5,10,"LURONGYUANYU 715",NA,NA,NA,"Fishing","satellite","FM126",70,12,NA
"spire","AIS.18","150400453",2022-11-11 15:35:59,-81.1392766666667,-18.0055116666667,0.5,359.5,359,NA,NA,NA,NA,NA,"satellite","FM116",NA,NA,0
"spire","AIS.18","150400453",2022-11-11 05:14:38,-81.123855,-18.091745,0.4,3.6,3,NA,NA,NA,NA,NA,"satellite","FM129",NA,NA,0
"spire","AIS.18","150400453",2022-11-11 02:17:31,-81.1227483333333,-18.1151133333333,0.5,3.7,3,NA,NA,NA,NA,NA,"satellite","FM136",NA,NA,0
"spire","AIS.19","150400453",2022-11-11 20:47:29,-81.1511333333333,-17.9689383333333,0.6,0.5,0,"LURONGYUANYU 715",NA,NA,NA,"Fishing","satellite","FM144",70,12,NA
"spire","AIS.18","150400453",2022-11-11 22:03:08,-81.1520033333333,-17.9620066666667,0.5,11.2,11,NA,NA,NA,NA,NA,"satellite","FM107",NA,NA,0
"spire","AIS.18","150400453",2022-11-11 21:18:10,-81.1517616666667,-17.966125,0.4,2.6,2,NA,NA,NA,NA,NA,"satellite","FM112",NA,NA,0
"spire","AIS.18","150400453",2022-11-11 18:39:03,-81.1457983333333,-17.9842066666667,0.7,350.6,354,NA,NA,NA,NA,NA,"satellite","FM131",NA,NA,0
"spire","AIS.18","150400453",2022-11-11 15:38:59,-81.1393466666667,-18.005165,0.6,346.7,341,NA,NA,NA,NA,NA,"satellite","FM122",NA,NA,0
"spire","AIS.18","150400453",2022-11-11 12:02:48,-81.1346666666667,-18.0334583333333,0.5,351.1,351,NA,NA,NA,NA,NA,"satellite","FM117",NA,NA,0
